id,givid,rvf_elisa_pn,lepto_elisa_pn,bruc_elisa_pn,qfev_elisa_pn,BVDV_elisa_pn,toxo_elisa_pn,neospora_elisa_pn,district_name,sample_month,animalsex,herdsize_fct,PC1,PC2,PC3,PC4,PC5
1530TZN000192805075,1495,0,0,0,0,1,0,0,17,12,1,1,0.0014802,-0.0242581,-0.0112854,-0.00376797,-0.00350716
1531TZN000192804966,1496,0,0,0,0,1,0,0,17,12,1,1,0.00609054,-0.0441478,-0.0251699,0.0299345,0.0163711
1532TZN000192805116,1497,0,0,0,0,1,0,0,17,12,1,1,0.0137209,-0.0382119,-0.0160162,-8.30883e-4,-0.0101531
1533TZN000365699808,1498,0,0,0,0,0,0,0,23,12,1,1,-0.00632313,-0.00183462,-0.012047,-0.0130615,-0.00363874
1534TZN000365699736,1499,0,0,0,0,0,0,0,23,12,1,1,-0.0113161,-0.0571655,-0.0243389,0.00421633,-4.09769e-4
1535TZN000403258003,1500,0,0,0,0,1,0,0,23,12,1,1,-0.0163228,-0.00703009,0.00682358,-0.0350519,-0.0760486
1536TZN000404024908,1501,1,1,0,0,1,0,0,23,12,1,1,0.00530516,-0.0392805,-0.0179713,-0.00515761,-0.00414514
1537TZN000365699653,1502,0,1,0,0,0,0,0,23,12,1,2,-0.0153172,-0.00155977,0.00120048,-0.0145056,0.0038643
1538TZN000404024295,1503,0,0,0,0,0,0,0,23,12,1,2,-0.0193941,0.00331642,0.00777706,-0.00418194,0.00753935
1539TZN000365699565,1504,0,0,0,0,0,0,0,23,12,1,2,-0.0244965,-0.014679,0.00669663,-0.0164467,0.00750311
1540TZN000365699720,1505,0,0,0,0,0,0,0,23,12,1,1,-0.00938698,0.00992912,0.00139498,0.013361,-0.00870822
1541TZN000365699761,1506,0,0,0,0,0,0,1,23,12,1,1,0.0361461,-0.00635232,-0.00156044,-0.0104711,-0.00381861
1542TZN000365699741,1507,0,0,0,0,0,0,0,23,12,1,1,0.00709071,-0.0299013,-0.00293658,0.0118081,0.00377948
1543TZN000365699811,1508,0,0,0,0,0,1,1,23,12,1,1,0.0149502,-0.017188,0.00122421,0.00598732,-0.00371379
1544TZN000365699807,1509,0,0,0,0,0,0,0,23,12,1,1,-0.00929394,-0.0179824,-0.00404945,-0.004325,0.00496306
1545TZN000404025325,1510,0,1,0,1,0,0,0,23,12,1,4,0.0216193,-0.030196,-0.00635675,-0.00274027,0.00203427
1546TZN000404025323,1511,1,1,0,0,0,0,0,23,12,1,4,0.0183861,-0.0226161,-4.87109e-4,-0.00417324,-0.00640332
1547TZN000404025354,1512,1,1,0,0,0,0,0,23,12,1,4,0.0107607,-0.0361161,-0.0202446,-0.0162879,-0.0058312
1548TZN000404025313,1513,0,1,0,0,0,0,0,23,12,1,4,0.0134599,-0.0104285,-0.00741971,-0.00767833,-0.00247108
1549TZN000365699735,1514,0,0,0,0,1,0,1,23,12,1,1,0.0176295,0.00877657,0.0211726,0.0197925,8.2195e-4
1550TZN000365699526,1515,0,0,0,0,0,0,0,23,1,1,3,0.0273255,-0.0185021,0.00462957,0.00503969,-0.00755182
1551TZN000365699504,1516,0,0,0,1,0,1,0,23,1,1,3,0.0278882,-0.0121215,8.89865e-4,-0.00375351,0.00190405
1552TZN000365699506,1517,0,0,0,0,1,0,1,23,1,1,3,-0.00200323,-0.0300647,-0.00902314,-0.0172429,0.00693232
1553TZN000365699378,1518,0,0,0,0,0,0,0,23,12,1,2,0.0251661,-0.00488853,0.00318378,0.00344785,0.001396
1554TZN000404025334,1519,1,1,0,0,0,0,0,23,12,1,4,0.00746081,-0.037604,-0.0224417,-0.0075805000000000004,-0.00474808
1555TZN000404025350,1520,0,1,0,0,0,0,0,23,12,1,4,0.0134799,-0.0410591,-0.0236827,-0.0106166,-0.0122572
1556TZN000365699376,1521,0,0,0,1,0,0,1,23,12,1,2,0.0207763,-0.0117016,-0.00578856,-0.00437578,-4.82507e-4
1557TZN000365699495,1522,0,1,0,1,1,0,0,23,1,1,3,0.0216342,-0.026748,-0.0116309,0.00622807,-0.00740229
1558TZN000404025315,1523,1,0,0,0,1,0,0,23,12,1,4,0.016161,-0.0153054,-0.00585501,-0.0152365,0.00347658
1559TZN000365699379,1524,0,0,0,1,0,0,1,23,12,1,2,0.0134931,-0.0181025,-0.00574242,-0.0100589,0.00264138
1560TZN000365699385,1525,0,0,0,0,0,0,1,23,12,1,2,0.012431,-1.76383e-4,0.00239903,8.96953e-4,0.00126634
1561TZN000365699382,1526,0,0,0,1,0,0,0,23,12,1,2,0.0312576,-0.00941368,-0.00144256,0.00323098,0.00184947
1562TZN000404025328,1527,0,1,0,0,0,0,0,23,12,1,4,-0.011416,0.0103876,-0.0436705,-0.00299053,0.00889753
